id,target
0,763.8543168
1,699.0674136
2,400.2958206
3,741.5908713
4,404.2555028
5,741.1430438
6,694.8525126
7,706.0873364
8,188.989774
9,712.0473062
10,716.8264789
11,749.7554157
12,700.8903442
13,722.4650054
14,719.2056725
15,543.1658585
16,752.4369526
17,740.6867929
18,393.185621
19,403.2873372
20,402.5429673
21,686.335361
22,714.5513186
23,404.9408985
24,739.0128984
25,683.1470603
26,721.6380527
27,406.8567878
28,675.3675255
29,651.4991517
30,719.4878674
31,710.9864406
32,759.789777
33,732.5749715
34,729.5955106
35,683.0064304
36,402.7010786
37,719.796498
38,412.2329074
39,748.6673852
40,850.8919693
41,779.9510128
42,718.2556713
43,401.867503
44,755.6240898
45,854.3933623
46,678.9212385
47,735.1421252
48,300.2543254
49,401.9751488
50,713.1259169
51,705.8937488
52,846.9462232
53,676.449022
54,408.0355939
55,763.7315669
56,667.8401702
57,731.9838202
58,402.802694
59,704.1238154
60,691.0060556
61,554.3782799
62,754.4005398
63,750.6096988
64,723.9617033
65,679.8482667
66,707.9677143
67,714.2018152
68,710.6803992
69,702.2198348
70,749.1317039
71,481.8670128
72,400.7144811
73,680.3865604
74,761.2842324
75,713.8141285
76,678.9459638
77,737.322304
78,679.588244
79,728.7813083
80,701.0760608
81,402.3876377
82,698.6823479
83,738.8067921
84,685.1276216
85,690.067202
86,698.3587269
87,403.0639429
88,697.3429374
89,740.8692066
90,716.675705
91,680.2717366
92,780.2626065
93,677.3831236
94,737.5748733
95,848.622334
96,712.971368
97,699.5329234
98,643.9232521
99,713.8992956
100,696.6890973
101,706.8745063
102,681.116072
103,705.4979854
104,725.5807505
105,701.3581941
106,702.090827
107,708.3683492
108,534.1280974
109,848.0068623
110,624.1805486
111,699.3196774
112,700.4471874
113,842.2130348
114,741.5068951
115,732.2252446
116,670.9525538
117,695.8252772
118,760.6218978
119,702.7314785
120,686.3050255
121,748.0601228
122,677.0308556
123,705.3480574
124,720.1789076
125,688.861517
126,681.1529329
127,714.888606
128,713.9274854
129,400.6562593
130,702.8630309
131,751.996003
132,401.7452548
133,750.4554337
134,403.9984178
135,679.0879165
136,736.9925131
137,723.2869787
138,754.2406155
139,435.7171209
140,758.774495
141,721.8760231
142,699.8923853
